,unique_id,date_close,date_open,oplata
1384,040516170,,,
1385,040511243,,,
1386,040511284,07-09-22,08-09-22,
1387,040515614,,,
1388,040514632,,,
1389,040506914,,,
1390,040514650,,,
1391,040516121,,,
1392,040504240,,,
1393,040517240,,,
1394,040505250,,,
1395,040511693,,,
1396,040516171,,,
1397,040516173,,,
1398,040511462,,,
1399,040515432,,,
1400,040516172,,,
1401,040515537,,,
1402,040505910,,,
1403,040511244,,,
1404,040511205,,,
1405,040511246,,,
1406,040512573,,,
1407,040516435,,,
1408,040511245,,,
1409,040515620,,,
1410,040505601,,,
1411,040516436,,,
1412,040516609,,,
1413,040504243,,,
1414,080800559,,,450
1415,080800952,,,450
1416,080800948,,,450
1417,080800618,,,450
1418,080800757,,,450
1419,080800758,,,450
1420,080800944,,,450
1421,080800972,,,450
1422,080800624,,,450
1423,080800943,,,450
1424,080403539,,,
1425,080403533,06-09-22,07-09-22,
1426,080403550,,,
1427,080400897,,,
1428,080401847,02-09-22,03-09-22,
1429,080402559,20-09-22,26-09-22,
1430,080402922,09-09-22,12-09-22,
1431,080401617,,,
1432,080403449,,,
1433,080402723,22-09-22,23-09-22,
1434,080401021,16-09-22,17-09-22,
1435,080403451,01-09-22,02-09-22,
1436,080400899,,,
1437,080402724,,,
1438,080400898,,,
1439,061126563,,,
1440,061114224,,,
1441,061130603,,,
1442,061129746,21-09-22,22-09-22,
1443,061127581,,,
1444,061124052,,,
1445,061126564,,,
1446,061127579,,,
1447,061108534,,,
1448,061129174,,,
1449,061129641,,,
1450,061129034,,,
1451,061129033,,,
1452,061122679,,,
1453,061127558,,,
1454,061125347,,,
1455,061127888,,,
1456,061128397,,,
1457,061125413,,,
1458,061126913,21-09-22,23-09-22,
1459,061116308,,,
1460,061115161,,,
1461,061128439,,,
1462,061128095,,,
1463,061117962,,,
1464,061128875,,,
1465,061129027,,,
1466,061127100,24-09-22,25-09-22,
1467,061122343,,,
1468,061127559,,,
1469,061119889,,,
1470,061121227,,,
1471,061126910,,,
1472,061128143,,,
1473,061122344,,,
1474,061129640,,,
1475,061127690,,,
1476,061121221,22-08-22,24-08-22,
1477,061128877,,,
1478,061128091,,,
1479,061116808,,,
1480,061118186,,,
1481,061119746,,,
1482,061127884,,,
1483,061129747,,,
1484,061120119,,,
1485,061117329,,,
1486,061130545,,,
1487,061117781,,,
1488,061115333,01-08-22,08-08-22,
1489,061110415,02-09-22,03-09-22,
1490,061127538,,,
1491,061125585,,,
1492,061115163,,,
1493,061129310,,,
1494,061108538,,,
1495,061121455,,,
1496,061113492,,,
1497,061127477,,,
1498,061129914,,,
1499,010503686,,,350
1500,010501203,,,350
1501,010506039,,,350
1502,010506040,,,350
1503,010501208,,,350
